,Question_ID,Questions,Answers,
84,9167296,<start> what is ocpd ? <end>,"<start> people with ocpd have very inflexible thinking and expect everything to be ordered , perfect , and done their correct way . this happens at the expense of other important things in life , including relationships with others . work can take priority over every other part of life and people with ocpd may seem excessively dedicated , but may be unable to complete tasks due to perfectionism . obsessive compulsive personality disorder is one of the most common personality disorders . treatment may include some combination of psychotherapy , medication , and self help strategies . to find help for ocpd , talk to your family doctor , find a psychologist through the bc psychological association , or call to talk to a healthlink bc navigator . <end>",
85,9049618,<start> what is binge eating disorder ? <end>,"<start> binge eating disorder or bed is a type of eating disorder . it involves episodes of eating a lot of food in a short amount of time past the point of feeling full. people who experience binge eating disorder may binge even when they don t feel hungry . they may feel temporarily comforted by food , and then feel depressed , upset , guilty , or ashamed of their eating . binge eating disorder is treatable . talk to your doctor or a mental health professional if you think you might have binge eating disorder . <end>",
85,9049618,<start> what is bed ? <end>,"<start> binge eating disorder or bed is a type of eating disorder . it involves episodes of eating a lot of food in a short amount of time past the point of feeling full. people who experience binge eating disorder may binge even when they don t feel hungry . they may feel temporarily comforted by food , and then feel depressed , upset , guilty , or ashamed of their eating . binge eating disorder is treatable . talk to your doctor or a mental health professional if you think you might have binge eating disorder . <end>",
86,7984793,<start> what s the difference between dissociative identity disorder multiple personality disorder and schizophrenia ? <end>,"<start> sometimes , people confuse dissociative identity disorder , formerly known as multiple personality disorder , and schizophrenia . schizophrenia does mean split mind , but the name was meant to describe the split from reality that you experience during an episode of psychosis , as well as changes in thoughts , emotions , and other functions . dissociative identity disorder , on the other hand , does cause a split or fragmented understanding of a person s sense of themselves . dissociative identity disorder is really more about fragmented identities than many different personalities that develop on their own . <end>",
86,7984793,<start> what is dissociative identity disorder ? <end>,<start> dissociative identity disorder causes a split or fragmented understanding of a person s sense of themselves . dissociative identity disorder is really more about fragmented identities than many different personalities that develop on their own . <end>,
86,7984793,<start> what is schizophrenia ? <end>,"<start> schizophrenia does mean split mind , but the name was meant to describe the split from reality that you experience during an episode of psychosis , as well as changes in thoughts , emotions , and other functions . <end>",
87,6085633,<start> what's the difference between psychosis and schizophrenia ? <end>,"<start> psychosis is a syndrome or group of symptoms . someone experiencing an episode of psychosis is having a break with reality . major symptoms of psychosis are hallucinations and delusions . schizophrenia is a mental illness that causes psychosis , but schizophrenia also has other symptoms and psychosis can be caused by many other things . psychosis and schizophrenia are treatable . it s important to seek help as soon as possible . <end>",
87,6085633,<start> what is psychosis? <end>,<start> psychosis is a syndrome or group of symptoms . someone experiencing an episode of psychosis is having a break with reality . major symptoms of psychosis are hallucinations and delusions . <end>,
88,1896541,<start> what are positive and negative symptoms ? <end>,"<start> positive and negative symptoms are medical terms for two groups of symptoms in schizophrenia . positive symptoms include hallucinations , delusions  and beliefs that can t be real , and repetitive movements that are hard to control . negative symptoms include the inability to show emotions , apathy , difficulties talking , and withdrawing from social situations and relationships . there is also a third group of symptoms , usually called cognitive symptoms . this includes anything related to thinking , such as disorganized thoughts , memory problems , and difficulties with focus and attention . <end>",
89,4962901,<start> what is a prodrome ? <end>,<start> prodrome is a medical term for early signs or symptoms of an illness or health problem that appear before the major signs or symptoms start . <end>,
90,6869967,<start> i m an adult and i think i might have adhd . what can i do next ? <end>,"<start> your family doctor may be able to assess your mental health and start treatment , if needed , or they may refer you to more specialized mental health services . <end>",
91,4824231,<start> what s the difference between substance use and addiction ? <end>,"<start> if a person uses a substance to have fun , only occasional social use may follow . but when a person uses a substance to cope with a long term problem such as social anxiety , then more long lasting and intense use may follow . addiction is an escalation of over dependence on the substance in which the user can no longer control subtstance use . <end>",
91,4824231,<start> what is substance use ? <end>,"<start> in substance use a person uses a substance to have fun , only occasional social use may follow . <end>",
91,4824231,<start> what is addiction ? <end>,<start> addiction is an escalation of over dependence on the substance in which the user can no longer control subtstance use . <end>,
92,4294616,<start> how can i find help for an alcohol or drug use problem ? <end>,"<start> one way to get help is to talk to a doctor you trust and feel comfortable with . if you aren t comfortable talking in person , you can also get advice from a registered nurse along with advice on programs or services in your area by calling healthlink bc. since some drugs are illegal , many people worry about what might happen if they talk about drug use . it s important to know that in most cases , doctors have to protect your privacy , it s the law . <end>",
92,4294616,<start> how can i find help for an alcohol use problem ? <end>,"<start> one way to get help is to talk to a doctor you trust and feel comfortable with . if you aren t comfortable talking in person , you can also get advice from a registered nurse along with advice on programs or services in your area by calling healthlink bc . <end>",
92,4294616,<start> how can i find help for a drug use problem ? <end>,"<start> one way to get help is to talk to a doctor you trust and feel comfortable with . if you aren t comfortable talking in person , you can also get advice from a registered nurse along with advice on programs or services in your area by calling healthlink bc. since some drugs are illegal , many people worry about what might happen if they talk about drug use . it s important to know that in most cases , doctors have to protect your privacy , it s the law . <end>",
93,4373204,<start> how do i know if i'm drinking too much ? <end>,"<start> by reflecting on your pattern of drinking you can manage your risk for immediate injury or death , your chances for long term health consequences such as cancer or heart disease , and your risk of developing habitual patterns of drinking that may lead to these harms . to better understand how substances play a role in your life , visit the you and substance use workbook on the heretohelp website . <end>",
94,7807643,"<start> if cannabis is dangerous , why are we legalizing it ? <end>","<start>  when dealing with complex issues , like cannabis policy , no one has all the answers . but as community members , we all have thoughts , feelings and experiences around drugs and drug use to share with each other . engaging together to explore and share ideas will help us discover how to manage use , as individuals and communities , in ways that maximize benefit and minimize harm . <end>",
95,4352464,<start> how can i convince my kids not to use drugs ? <end>,<start> you can't . but you can influence their capacity to make good choices in a world where alcohol and other drugs are available . <end>,
96,6521784,<start> what is the legal status and evidence of cbd oil ? <end>,"<start> cbd is legal in canada and has been used in the treatment of various medical conditions  . there is also some evidence suggesting that cbd may be a promising support for people with opioid use disorders . the researchers noted that cbd reduced some symptoms associated with substance use disorders including anxiety , mood related symptoms , pain , and insomnia . after researching the safety and effectiveness of cbd oil for treating epilepsy , in , the united states fda approved cbd epidiolex as a therapy for two rare conditions characterized by epileptic seizures . other evidence suggests that cbd may be useful in the treatment of schizophrenia , though further research is needed before introducing cbd into medical practice . <end>",
96,6521784,<start> what is the legal status cbd oil ? <end>,<start> cbd is legal in canada . <end>,
96,6521784,<start> what is the evidence of cbd oil ? <end>,"<start> cbd may be a promising support for people with opioid use disorders . the researchers noted that cbd reduced some symptoms associated with substance use disorders including anxiety , mood related symptoms , pain , and insomnia . after researching the safety and effectiveness of cbd oil for treating epilepsy , in , the united states fda approved cbd epidiolex as a therapy for two rare conditions characterized by epileptic seizures . other evidence suggests that cbd may be useful in the treatment of schizophrenia , though further research is needed before introducing cbd into medical practice . <end>",
97,3221856,<start> what is the evidence on vaping ? <end>,"<start> nicotine vapour contains significantly fewer toxins and other particles than smoke from cigarettes . vaping is a less harmful alternative to cigarettes and evidence suggests , it may help some people quit smoking . evidence suggests vaping is likely not a gateway to smoking tobacco . though less harmful than smoking cigarettes , vaping still carries potential harms . there is a small exposure to nicotine and possible carcinogens in the vapour . <end>",
